nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Generation Pipeline
============================================================
  Device:       cuda
  Checkpoint:   logs/deep_v6/checkpoint_final.pt
  Scaler:       logs/deep_v6/scaler.pt
  Num samples:  5120
  Batch size:   64
  Use EMA:      True
  Output:       output/deep_v6.csv
============================================================

[Step 1] Loading scaler...
[Scaler] Parameters loaded from logs/deep_v6/scaler.pt
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
  Found run configuration: /home/u00134/src/logs/deep_v6/config.json
  Loaded model config: channel_dims=[256, 512, 1024], time_emb_dim=512, T=3000

[Step 2] Loading model...
  Loaded EMA weights
  Trained epoch: 6999
  U-Net parameters: 42,121,730

[Step 3] Generating 5120 paths...

  --- Batch 1 (64 samples) ---
  [Scheduler] Reverse step 2300/3000  x range: [-4.389, 4.271]
  [Scheduler] Reverse step 2250/3000  x range: [-4.636, 4.724]
  [Scheduler] Reverse step 2200/3000  x range: [-5.460, 5.282]
  [Scheduler] Reverse step 2150/3000  x range: [-4.650, 4.628]
  [Scheduler] Reverse step 2100/3000  x range: [-4.987, 4.502]
  [Scheduler] Reverse step 2050/3000  x range: [-4.671, 4.432]
  [Scheduler] Reverse step 2000/3000  x range: [-4.356, 4.902]
  [Scheduler] Reverse step 1950/3000  x range: [-4.498, 4.607]
  [Scheduler] Reverse step 1900/3000  x range: [-4.968, 4.561]
  [Scheduler] Reverse step 1850/3000  x range: [-4.320, 4.249]
  [Scheduler] Reverse step 1800/3000  x range: [-4.777, 4.917]
  [Scheduler] Reverse step 1750/3000  x range: [-4.565, 4.326]
  [Scheduler] Reverse step 1700/3000  x range: [-4.393, 4.794]
  [Scheduler] Reverse step 1650/3000  x range: [-4.770, 4.710]
  [Scheduler] Reverse step 1600/3000  x range: [-4.463, 4.547]
  [Scheduler] Reverse step 1550/3000  x range: [-4.025, 4.754]
  [Scheduler] Reverse step 1500/3000  x range: [-4.769, 5.287]
  [Scheduler] Reverse step 1450/3000  x range: [-4.562, 5.191]
  [Scheduler] Reverse step 1400/3000  x range: [-4.390, 4.397]
  [Scheduler] Reverse step 1350/3000  x range: [-4.640, 4.293]
  [Scheduler] Reverse step 1300/3000  x range: [-4.313, 4.482]
  [Scheduler] Reverse step 1250/3000  x range: [-4.605, 4.169]
  [Scheduler] Reverse step 1200/3000  x range: [-4.399, 4.346]
  [Scheduler] Reverse step 1150/3000  x range: [-4.537, 4.110]
  [Scheduler] Reverse step 1100/3000  x range: [-5.189, 4.354]
  [Scheduler] Reverse step 1050/3000  x range: [-4.352, 4.559]
  [Scheduler] Reverse step 1000/3000  x range: [-4.716, 4.448]
  [Scheduler] Reverse step 950/3000  x range: [-4.760, 4.466]
  [Scheduler] Reverse step 900/3000  x range: [-4.652, 4.512]
  [Scheduler] Reverse step 850/3000  x range: [-4.419, 4.716]
