nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Training Pipeline
============================================================
  Backbone:   dit-b
  Device:     cuda
  Epochs:     20000
  Batch size: 64
  LR:         0.0002
  Warmup:     200 epochs
  T:          1000
============================================================

[Phase 1] Loading data...
[Dataset] Loaded 14734 rows from /home/u00134/data/train_sp500_us10y.csv
[Scaler] Fitted on 14734 samples
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
[Dataset] 2538 windows (seq_len=2048, stride=5, total_rows=14734)
  Samples:      2538
  Batches/epoch: 39

[Phase 2] Building model...
  DIT-B parameters: 57,932,320
[Utils] Run directory: /home/u00134/src/logs/deep_v9_dit_b_20k
[Utils] Config snapshot saved to /home/u00134/src/logs/deep_v9_dit_b_20k/config.json
[Scaler] Parameters saved to /home/u00134/src/logs/deep_v9_dit_b_20k/scaler.pt

[Resume] Loading checkpoint from logs/deep_v9_dit_b/checkpoint_final.pt
[Utils] Checkpoint loaded from logs/deep_v9_dit_b/checkpoint_final.pt (epoch 7999)
  Resuming from epoch 8000

[Phase 3] Training starts (epoch 8000 → 19999)...
------------------------------------------------------------
  Epoch 9250/20000  |  Loss: 0.001785  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9260/20000  |  Loss: 0.001603  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9270/20000  |  Loss: 0.001632  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 9280/20000  |  Loss: 0.001579  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9290/20000  |  Loss: 0.001647  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9300/20000  |  Loss: 0.001520  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 9310/20000  |  Loss: 0.001491  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9320/20000  |  Loss: 0.001596  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9330/20000  |  Loss: 0.001527  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9340/20000  |  Loss: 0.001622  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9350/20000  |  Loss: 0.001532  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9360/20000  |  Loss: 0.001419  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9370/20000  |  Loss: 0.001555  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9380/20000  |  Loss: 0.001624  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 9390/20000  |  Loss: 0.001656  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9400/20000  |  Loss: 0.001558  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 9410/20000  |  Loss: 0.001453  |  LR: 1.00e-06  |  Time: 7.02s
  Epoch 9420/20000  |  Loss: 0.001536  |  LR: 1.00e-06  |  Time: 7.04s
  Epoch 9430/20000  |  Loss: 0.001613  |  LR: 1.00e-06  |  Time: 7.02s
  Epoch 9440/20000  |  Loss: 0.001747  |  LR: 1.00e-06  |  Time: 7.02s
  Epoch 9450/20000  |  Loss: 0.001680  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 9460/20000  |  Loss: 0.001637  |  LR: 1.00e-06  |  Time: 7.00s
  Epoch 9470/20000  |  Loss: 0.001681  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9480/20000  |  Loss: 0.001601  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9490/20000  |  Loss: 0.001491  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9500/20000  |  Loss: 0.001561  |  LR: 1.00e-06  |  Time: 7.02s
  Epoch 9510/20000  |  Loss: 0.001544  |  LR: 1.00e-06  |  Time: 7.02s
  Epoch 9520/20000  |  Loss: 0.001538  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9530/20000  |  Loss: 0.001548  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9540/20000  |  Loss: 0.001561  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9550/20000  |  Loss: 0.001543  |  LR: 1.00e-06  |  Time: 6.97s
  Epoch 9560/20000  |  Loss: 0.001499  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9570/20000  |  Loss: 0.001579  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9580/20000  |  Loss: 0.001557  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9590/20000  |  Loss: 0.001735  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9600/20000  |  Loss: 0.001659  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9610/20000  |  Loss: 0.001461  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9620/20000  |  Loss: 0.001613  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9630/20000  |  Loss: 0.001531  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9640/20000  |  Loss: 0.001561  |  LR: 1.00e-06  |  Time: 6.97s
  Epoch 9650/20000  |  Loss: 0.001553  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9660/20000  |  Loss: 0.001538  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9670/20000  |  Loss: 0.001586  |  LR: 1.00e-06  |  Time: 6.99s
  Epoch 9680/20000  |  Loss: 0.001591  |  LR: 1.00e-06  |  Time: 6.97s
  Epoch 9690/20000  |  Loss: 0.001647  |  LR: 1.00e-06  |  Time: 6.98s
  Epoch 9700/20000  |  Loss: 0.001468  |  LR: 1.00e-06  |  Time: 7.00s
