nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Training Pipeline
============================================================
  Backbone:   dit-b
  Device:     cuda
  Epochs:     8000
  Batch size: 64
  LR:         0.0002
  Warmup:     200 epochs
  T:          1000
============================================================

[Phase 1] Loading data...
[Dataset] Loaded 14734 rows from /home/u00134/data/train_sp500_us10y.csv
[Scaler] Fitted on 14734 samples
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
[Dataset] 2538 windows (seq_len=2048, stride=5, total_rows=14734)
  Samples:      2538
  Batches/epoch: 39

[Phase 2] Building model...
  DIT-B parameters: 57,932,320
[Utils] Run directory: /home/u00134/src/logs/deep_v9_dit_b
[Utils] Config snapshot saved to /home/u00134/src/logs/deep_v9_dit_b/config.json
[Scaler] Parameters saved to /home/u00134/src/logs/deep_v9_dit_b/scaler.pt

[Phase 3] Training starts (epoch 0 → 7999)...
------------------------------------------------------------
  Epoch  690/8000  |  Loss: 0.037320  |  LR: 1.98e-04  |  Time: 6.89s
  Epoch  700/8000  |  Loss: 0.035989  |  LR: 1.98e-04  |  Time: 6.91s
  Epoch  710/8000  |  Loss: 0.039562  |  LR: 1.98e-04  |  Time: 6.89s
  Epoch  720/8000  |  Loss: 0.040089  |  LR: 1.98e-04  |  Time: 6.90s
  Epoch  730/8000  |  Loss: 0.039205  |  LR: 1.98e-04  |  Time: 6.90s
  Epoch  740/8000  |  Loss: 0.034870  |  LR: 1.98e-04  |  Time: 6.91s
  Epoch  750/8000  |  Loss: 0.038074  |  LR: 1.98e-04  |  Time: 6.89s
  Epoch  760/8000  |  Loss: 0.034010  |  LR: 1.97e-04  |  Time: 6.91s
  Epoch  770/8000  |  Loss: 0.035600  |  LR: 1.97e-04  |  Time: 6.90s
  Epoch  780/8000  |  Loss: 0.034471  |  LR: 1.97e-04  |  Time: 6.92s
  Epoch  790/8000  |  Loss: 0.031800  |  LR: 1.97e-04  |  Time: 6.90s
  Epoch  800/8000  |  Loss: 0.034258  |  LR: 1.97e-04  |  Time: 6.89s
  Epoch  810/8000  |  Loss: 0.033183  |  LR: 1.97e-04  |  Time: 6.90s
  Epoch  820/8000  |  Loss: 0.034534  |  LR: 1.97e-04  |  Time: 6.91s
  Epoch  830/8000  |  Loss: 0.034289  |  LR: 1.97e-04  |  Time: 6.90s
  Epoch  840/8000  |  Loss: 0.031914  |  LR: 1.97e-04  |  Time: 6.90s
  Epoch  850/8000  |  Loss: 0.031639  |  LR: 1.97e-04  |  Time: 6.90s
  Epoch  860/8000  |  Loss: 0.033454  |  LR: 1.96e-04  |  Time: 6.90s
  Epoch  870/8000  |  Loss: 0.028808  |  LR: 1.96e-04  |  Time: 6.91s
  Epoch  880/8000  |  Loss: 0.032816  |  LR: 1.96e-04  |  Time: 6.92s
  Epoch  890/8000  |  Loss: 0.028836  |  LR: 1.96e-04  |  Time: 6.90s
  Epoch  900/8000  |  Loss: 0.032044  |  LR: 1.96e-04  |  Time: 6.90s
  Epoch  910/8000  |  Loss: 0.029959  |  LR: 1.96e-04  |  Time: 6.89s
  Epoch  920/8000  |  Loss: 0.026565  |  LR: 1.96e-04  |  Time: 6.90s
  Epoch  930/8000  |  Loss: 0.026602  |  LR: 1.96e-04  |  Time: 6.90s
  Epoch  940/8000  |  Loss: 0.028951  |  LR: 1.96e-04  |  Time: 6.89s
  Epoch  950/8000  |  Loss: 0.025026  |  LR: 1.95e-04  |  Time: 6.90s
  Epoch  960/8000  |  Loss: 0.025818  |  LR: 1.95e-04  |  Time: 6.90s
  Epoch  970/8000  |  Loss: 0.024643  |  LR: 1.95e-04  |  Time: 6.91s
  Epoch  980/8000  |  Loss: 0.029619  |  LR: 1.95e-04  |  Time: 6.89s
  Epoch  990/8000  |  Loss: 0.026273  |  LR: 1.95e-04  |  Time: 6.89s
  Epoch 1000/8000  |  Loss: 0.028954  |  LR: 1.95e-04  |  Time: 6.91s
  Epoch 1010/8000  |  Loss: 0.026657  |  LR: 1.95e-04  |  Time: 6.91s
  Epoch 1020/8000  |  Loss: 0.027789  |  LR: 1.95e-04  |  Time: 6.91s
  Epoch 1030/8000  |  Loss: 0.025424  |  LR: 1.94e-04  |  Time: 6.88s
